name	type	mode	description
is_oa	BOOLEAN	NULLABLE	Set to true if the work hosted here can be read for free, without registration.
is_paratext	BOOLEAN	NULLABLE	True if we think this work is paratext. In our context, paratext is stuff that’s in scholarly venue (like a journal) but is about the venue rather than a scholarly work properly speaking. Some examples and nonexamples: yep it’s paratext: front cover, back cover, table of contents, editorial board listing, issue information, masthead. no, not paratext: research paper, dataset, letters to the editor, figures Turns out there is a lot of paratext in registries like Crossref. That’s not a bad thing… but we’ve found that it’s good to have a way to filter it out. We determine is_paratext algorithmically using title heuristics.
is_retracted	BOOLEAN	NULLABLE	True if we know this work has been retracted. This field has high precision but low recall. In other words, if is_retracted is  true, the article is definitely retracted. But if is_retracted is False,  it still might be retracted, but we just don’t know. This is because unfortunately, the open sources for retraction data aren’t currently very comprehensive, and the more comprehensive ones aren’t sufficiently open for us to use here.
language	STRING	NULLABLE	The language of the work in ISO 639-1 format. The language is automatically detected using the information we have about the work. We use the langdetect software library on the words in the work’s abstract, or the title if we do not have the abstract. The source code for this procedure is here. Keep in mind that this method is not perfect, and that in some cases the language of the title or abstract could be different from the body of the work.
license	STRING	NULLABLE	The license applied to this work at this host. Most toll-access works don’t have an explicit license (they’re under “all rights reserved” copyright), so this field generally has content only if is_oa is true.
locations	RECORD	REPEATED	A list of Location objects describing all unique places where this work lives.
locations.is_accepted	BOOLEAN	NULLABLE	True if this location’s version is either acceptedVersion or publishedVersion; otherwise false.
locations.is_oa	BOOLEAN	NULLABLE	True if this work is Open Access (OA).
locations.is_published	BOOLEAN	NULLABLE	True if this location’s version is publishedVersion; otherwise false.
locations.landing_page_url	STRING	NULLABLE	The landing page URL for this location.
locations.license	STRING	NULLABLE	The location’s publishing license. This can be a Create Commons license such as cc0 or cc-by, a publisher-specific license, or null which means we are not able to determine a license for this location.
locations.pdf_url	STRING	NULLABLE	A URL where you can find this location as a PDF.
locations.source	RECORD	NULLABLE	
locations.source.display_name	STRING	NULLABLE	The name of the source.
locations.source.host_organization	STRING	NULLABLE	The host organization for this source as an OpenAlex ID. This will be an Institution.id if the source is a repository, and a Publisher.id if the source is a journal, conference, or eBook platform (based on the type field).
locations.source.host_organization_lineage	STRING	REPEATED	OpenAlex IDs — See Publisher.lineage. This will only be included if the host_organization is a publisher (and not if the host_organization is an institution).
locations.source.host_organization_lineage_names	STRING	REPEATED	The names of the organisations in host_organization_lineage.
locations.source.host_organization_name	STRING	NULLABLE	The display_name from the host_organization, shown for convenience.
locations.source.id	STRING	NULLABLE	The OpenAlex ID for this source.
locations.source.is_in_doaj	BOOLEAN	NULLABLE	Whether this is a journal listed in the Directory of Open Access Journals (DOAJ).
locations.source.issn	STRING	REPEATED	The ISSNs used by this source. Many publications have multiple ISSNs (see above), so ISSN-L should be used when possible.
locations.source.issn_l	STRING	NULLABLE	The ISSN-L identifying this source. This is the Canonical External ID for sources.
locations.source.publisher	STRING	NULLABLE	The publisher name.
locations.source.publisher_id	STRING	NULLABLE	The OpenAlex publisher ID.
locations.source.type	STRING	NULLABLE	The type of source.
locations.version	STRING	NULLABLE	The version of the work, based on the DRIVER Guidelines versioning scheme. Possible values are: publishedVersion: The document’s version of record. This is the most authoritative version. acceptedVersion: The document after having completed peer review and being officially accepted for publication. It will lack publisher formatting, but the content should be interchangeable with the that of the publishedVersion. submittedVersion: the document as submitted to the publisher by the authors, but before peer-review. Its content may differ significantly from that of the accepted article.
locations_count	INTEGER	NULLABLE	Number of locations for this work.
mesh	RECORD	REPEATED	List of MeSH tag objects. Only works found in PubMed have MeSH tags; for all other works, this is an empty list.
mesh.descriptor_name	STRING	NULLABLE	
mesh.descriptor_ui	STRING	NULLABLE	
mesh.is_major_topic	BOOLEAN	NULLABLE	
mesh.qualifier_name	STRING	NULLABLE	
mesh.qualifier_ui	STRING	NULLABLE	
open_access	RECORD	NULLABLE	Information about the access status of this work, as an OpenAccess object.
open_access.any_repository_has_fulltext	BOOLEAN	NULLABLE	
open_access.is_oa	BOOLEAN	NULLABLE	True if this work is Open Access (OA). There are many ways to define OA. OpenAlex uses a broad definition: having a URL where you can read the fulltext of this work without needing to pay money or log in. You can use the locations and oa_status fields to narrow your results further, accommodating any definition of OA you like.
open_access.oa_status	STRING	NULLABLE	The Open Access (OA) status of this work. Possible values are: -gold: Published in an OA journal that is indexed by the DOAJ. -green: Toll-access on the publisher landing page, but there is a free copy in an OA repository. -hybrid: Free under an open license in a toll-access journal. -bronze: Free to read on the publisher landing page, but without any identifiable license. -closed: All other articles.
open_access.oa_url	STRING	NULLABLE	The best Open Access (OA) URL for this work. Although there are many ways to define OA, in this context an OA URL is one where you can read the fulltext of this work without needing to pay money or log in. The “best” such URL is the one closest to the version of record. This URL might be a direct link to a PDF, or it might be to a landing page that links to the free PDF
primary_location	RECORD	NULLABLE	A Location object with the primary location of this work.
primary_location.is_oa	BOOLEAN	NULLABLE	True if this work is Open Access (OA).
primary_location.is_accepted	BOOLEAN	NULLABLE	True if this location's version is either acceptedVersion or publishedVersion; otherwise false.
primary_location.is_published	BOOLEAN	NULLABLE	True if this location's version is publishedVersion; otherwise false.
primary_location.landing_page_url	STRING	NULLABLE	The landing page URL for this location.
primary_location.license	STRING	NULLABLE	The location’s publishing license. This can be a Create Commons license such as cc0 or cc-by, a publisher-specific license, or null which means we are not able to determine a license for this location.
primary_location.pdf_url	STRING	NULLABLE	A URL where you can find this location as a PDF.
primary_location.source	RECORD	NULLABLE	
primary_location.source.display_name	STRING	NULLABLE	The name of the source.
primary_location.source.host_organization	STRING	NULLABLE	The host organization for this source as an OpenAlex ID. This will be an Institution.id if the source is a repository, and a Publisher.id if the source is a journal, conference, or eBook platform (based on the type field).
primary_location.source.host_organization_lineage	STRING	REPEATED	OpenAlex IDs — See Publisher.lineage. This will only be included if the host_organization is a publisher (and not if the host_organization is an institution).
primary_location.source.host_organization_lineage_names	STRING	REPEATED	The names of the organisations in host_organization_lineage.
primary_location.source.host_organization_name	STRING	NULLABLE	The display_name from the host_organization, shown for convenience.
primary_location.source.id	STRING	NULLABLE	The OpenAlex ID for this source.
primary_location.source.is_in_doaj	BOOLEAN	NULLABLE	Whether this is a journal listed in the Directory of Open Access Journals (DOAJ).
primary_location.source.issn	STRING	REPEATED	The ISSNs used by this source. Many publications have multiple ISSNs (see above), so ISSN-L should be used when possible.
primary_location.source.issn_l	STRING	NULLABLE	The ISSN-L identifying this source. This is the Canonical External ID for sources.
primary_location.source.publisher	STRING	NULLABLE	The publisher name.
primary_location.source.publisher_id	STRING	NULLABLE	The OpenAlex ID of the publisher.
primary_location.source.publisher_lineage   STRING  REPEATED    The OpenAlex ID a publisher.
primary_location.source.type	STRING	NULLABLE	The type of source.
primary_location.version	STRING	NULLABLE	The version of the work, based on the DRIVER Guidelines versioning scheme. Possible values are:. publishedVersion: The document’s version of record. This is the most authoritative version. acceptedVersion: The document after having completed peer review and being officially accepted for publication. It will lack publisher formatting, but the content should be interchangeable with the that of the publishedVersion. submittedVersion: the document as submitted to the publisher by the authors, but before peer-review. Its content may differ significantly from that of the accepted article.
publication_date	DATE	NULLABLE	The day when this work was published, formatted as an ISO 8601 date. Where different publication dates exist, we select the earliest available date of electronic publication. This date applies to the version found at Work.url. The other versions, found in Work.locations, may have been published at different (earlier) dates.
publication_year	INTEGER	NULLABLE	The year this work was published.
referenced_works	STRING	REPEATED	OpenAlex IDs for works that this work cites. These are citations that go from this work out to another work: This work ➞ Other works.
related_works	STRING	REPEATED	OpenAlex IDs for works related to this work.
summary_stats	RECORD	NULLABLE	
summary_stats.2yr_cited_by_count	INTEGER	NULLABLE	
summary_stats.2yr_h_index	INTEGER	NULLABLE	
summary_stats.2yr_i10_index	INTEGER	NULLABLE	
summary_stats.2yr_mean_citedness	FLOAT	NULLABLE	
summary_stats.cited_by_count	INTEGER	NULLABLE	
summary_stats.h_index	INTEGER	NULLABLE	
summary_stats.i10_index	INTEGER	NULLABLE	
summary_stats.oa_percent	FLOAT	NULLABLE	
sustainable_development_goals	RECORD	REPEATED	List of sustainable developement goal objects. The United Nations’ 17 Sustainable Development Goals are a collection of goals at the heart of a global “shared blueprint for peace and prosperity for people and the planet.” We use a machine learning model to tag works with their relevance to these goals based on our OpenAlex SDG Classifier, an mBERT machine learning model developed by the Aurora Universities Network. The score represents the model’s predicted probability of the work’s relevance for a particular goal.
sustainable_development_goals.display_name	STRING	NULLABLE	
sustainable_development_goals.id	STRING	NULLABLE	
sustainable_development_goals.score	FLOAT	NULLABLE	All of the SDGs with a prediction score higher than 0.1.
title	STRING	NULLABLE	The title of this work.
type	STRING	NULLABLE	The type or genre of the work. This field uses Crossref’s “type” controlled vocabulary; you can see all possible values via the Crossref api here: https://api.crossref.org/types . Where possible, we just pass along Crossref’s type value for each work. When that’s impossible (eg the work isn’t in Crossref), we do our best to figure out the type ourselves. Unfortunately the accuracy of Crossref’s data for this isn’t great, and ours isn’t much better. We’re working to develop better type classification.
type_crossref	STRING	NULLABLE	Legacy type information, using Crossref’s “type” controlled vocabulary.
updated_date	TIMESTAMP	NULLABLE	The last time anything in this Work object changed, expressed as an ISO 8601 date string. This date is updated for any change at all, including increases in various counts.
url	STRING	NULLABLE	The URL where you can access this work.
version	STRING	NULLABLE	The version of the work, based on the DRIVER Guidelines versioning scheme. Possible values are: publishedVersion, acceptedVersion or submittedVersion.
